Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 0min_untreated	Peptides 15min_untreated	Peptides 180min_untreated	Peptides 30min_untreated	Peptides 60min_untreated	Razor + unique peptides 0min_untreated	Razor + unique peptides 15min_untreated	Razor + unique peptides 180min_untreated	Razor + unique peptides 30min_untreated	Razor + unique peptides 60min_untreated	Unique peptides 0min_untreated	Unique peptides 15min_untreated	Unique peptides 180min_untreated	Unique peptides 30min_untreated	Unique peptides 60min_untreated	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Slice average	Slice 1	Experiment 0min_untreated	Experiment 15min_untreated	Experiment 180min_untreated	Experiment 30min_untreated	Experiment 60min_untreated	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L 0min_untreated	Ratio H/L normalized 0min_untreated	Ratio H/L variability [%] 0min_untreated	Ratio H/L count 0min_untreated	Ratio H/L 15min_untreated	Ratio H/L normalized 15min_untreated	Ratio H/L variability [%] 15min_untreated	Ratio H/L count 15min_untreated	Ratio H/L 180min_untreated	Ratio H/L normalized 180min_untreated	Ratio H/L variability [%] 180min_untreated	Ratio H/L count 180min_untreated	Ratio H/L 30min_untreated	Ratio H/L normalized 30min_untreated	Ratio H/L variability [%] 30min_untreated	Ratio H/L count 30min_untreated	Ratio H/L 60min_untreated	Ratio H/L normalized 60min_untreated	Ratio H/L variability [%] 60min_untreated	Ratio H/L count 60min_untreated	Sequence coverage 0min_untreated [%]	Sequence coverage 15min_untreated [%]	Sequence coverage 180min_untreated [%]	Sequence coverage 30min_untreated [%]	Sequence coverage 60min_untreated [%]	Intensity	Intensity L	Intensity H	Intensity 0min_untreated	Intensity L 0min_untreated	Intensity H 0min_untreated	Intensity 15min_untreated	Intensity L 15min_untreated	Intensity H 15min_untreated	Intensity 180min_untreated	Intensity L 180min_untreated	Intensity H 180min_untreated	Intensity 30min_untreated	Intensity L 30min_untreated	Intensity H 30min_untreated	Intensity 60min_untreated	Intensity L 60min_untreated	Intensity H 60min_untreated	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00761	CON__P00761	5	5	5			>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	1	5	5	5	2	3	2	4	4	2	3	2	4	4	2	3	2	4	4	32.9	32.9	32.9	24.409	231	231	1	34	3	9	4	10	8	2.19E-81	0.063486	0.16157	165.39	32	0.0141	0.016755	124.36	3	0.12555	0.19258	150.28	8	0.036522	0.077972	70.418	4	0.047319	0.2665	182.15	9	0.11178	0.49981	163.2	8	12.1	16.5	12.1	24.2	24.2	105830000	99494000	6337800	6931400	6610000	321400	14125000	12830000	1295100	10516000	9709100	807440	54685000	52412000	2273500	19574000	17934000	1640400			+	0	3216;4216;4855;6411;7974	True;True;True;True;True	3301;3302;4330;4996;6639;8260	35592;35593;47623;47624;47625;47626;47627;47628;47629;54353;54354;54355;54356;54357;70615;70616;90538;90539;90540;90541;90542;90543;90544;90545;90546;90547;90548;90549;90550;90551;90552;90553;90554;90555	83250;83251;83252;109528;109529;109530;109531;109532;109533;109534;109535;109536;109537;109538;109539;125513;125514;125515;125516;125517;125518;125519;125520;125521;125522;125523;164243;164244;211091;211092;211093;211094;211095;211096;211097;211098;211099;211100;211101;211102;211103;211104;211105;211106;211107;211108;211109;211110;211111;211112;211113;211114;211115;211116;211117;211118;211119;211120;211121;211122;211123;211124;211125;211126;211127;211128;211129;211130;211131;211132;211133;211134;211135;211136;211137;211138;211139;211140;211141	83252;109534;125516;164243;211108	0	94
CON__P02533;CON__P08779;CON__Q7Z3Y7;CON__REFSEQ:XP_986630;CON__O76014;CON__Q148H6;CON__O76015;CON__Q497I4;CON__Q6IFX2;CON__P08730-1;CON__Q04695;CON__Q92764;CON__P05784;CON__ENSEMBL:ENSP00000377550;CON__A2A5Y0;CON__P19001;CON__P08727	CON__P02533;CON__P08779	3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0			">P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14;>P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16"	17	3	2	2	0	3	0	0	1	0	2	0	0	0	0	2	0	0	0	7.8	6.4	6.4	51.621	472	472;473;486;476;471;464;456;455;452;437;432;425;423;420;416;403;400	1	3		3				2.35E-14	0.32521	1.4829	100.75	3	NaN	NaN	NaN	0	0.32521	1.4829	100.75	3	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	7.8	0	0	1.5	1884100	1561400	322760	0	0	0	1884100	1561400	322760	0	0	0	0	0	0	0	0	0			+	1	559;2635;3857	True;True;False	578;2701;3965	6641;28372;28373;42848;42849;42850;42851	16062;16063;67033;67034;67035;67036;99534;99535;99536;99537	16063;67035;99534		
CON__P02662	CON__P02662	1	1	1			>P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	6	6	6	22.975	199	199	1	2		2				5.46E-05	0.11564	0.80688	13.894	2	NaN	NaN	NaN	0	0.11564	0.80688	13.894	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	6	0	0	0	4023000	3608200	414830	0	0	0	4023000	3608200	414830	0	0	0	0	0	0	0	0	0			+	2	1989	TRUE	2039	22514;22515	52773;52774;52775;52776	52776		
CON__P04259;CON__P48668;CON__P02538;CON__O95678	CON__P04259;CON__P48668;CON__P02538	7;7;6;2	7;7;6;2	4;4;3;0			">P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B;>P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C;>P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytos"	4	7	7	4	0	6	1	0	1	0	6	1	0	1	0	3	1	0	0	14	14	8.3	59.998	564	564;564;564;551	1	11		7	1		3	4.38E-24	0.23925	1.7478	179.36	9	NaN	NaN	NaN	0	0.12585	0.87968	130.72	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0	3.4249	21.226	110.76	3	0	12.6	1.4	0	2.1	23861000	14054000	9806200	0	0	0	15176000	11527000	3649100	0	0	0	0	0	0	8684100	2527000	6157100			+	3	125;664;2642;5670;5729;8809;8891	True;True;True;True;True;True;True	128;686;2708;5876;5939;9124;9210	1521;7638;28397;63937;63938;63939;63940;64780;102058;102763;102764	3709;3710;18718;67081;148326;148327;148328;148329;148330;148331;150083;240208;241796;241797;241798	3710;18718;67081;148330;150083;240208;241797		
CON__P04264	CON__P04264	8	8	5			">P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1"	1	8	8	5	3	7	1	2	2	3	7	1	2	2	1	4	0	0	0	17.9	17.9	12.3	66.017	644	644	1	29	6	10	1	6	6	7.14E-137	0.095546	0.3494	100.62	27	0.20724	0.24121	92.686	5	0.11174	0.47969	116.6	9	NaN	NaN	NaN	1	0.079661	0.64206	85.366	6	0.052515	0.35053	75.493	6	5.4	16.1	1.9	3.7	3.7	101640000	95878000	5763200	8500400	7988700	511740	41678000	38566000	3111700	1571700	1430100	141560	19531000	18565000	966060	30361000	29329000	1032100			+	4	2094;2458;6080;6740;6797;7655;8764;8890	True;True;True;True;True;True;True;True	2146;2516;6299;6977;7034;7926;9078;9209	23329;23330;23331;23332;23333;23334;23335;23336;23337;23338;26843;26844;67754;67755;73784;73785;73786;73787;73788;73789;73790;73791;73792;73793;73794;74290;86648;101745;102762	54642;54643;54644;54645;54646;54647;54648;54649;54650;54651;54652;54653;54654;54655;54656;54657;54658;54659;54660;54661;54662;54663;54664;54665;54666;54667;54668;63228;63229;63230;63231;63232;156960;156961;156962;156963;156964;156965;156966;171737;171738;171739;171740;171741;171742;171743;171744;171745;171746;171747;172931;172932;201314;239495;241794;241795	54648;63229;156966;171744;172932;201314;239495;241795		
CON__P13645;CON__P02535-1	CON__P13645;CON__P02535-1	5;4	5;4	4;3			">P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10;>P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10"	2	5	5	4	0	5	0	1	2	0	5	0	1	2	0	4	0	1	1	12.5	12.5	11.3	59.51	593	593;570	1	15		8		2	5	1.63E-82	0.374	2.4039	119.7	14	NaN	NaN	NaN	0	0.37513	1.2083	134.79	7	NaN	NaN	NaN	0	0.36681	2.5955	5.3204	2	0.4142	2.3117	126.51	5	0	12.5	0	2	3.2	32537000	24988000	7548700	0	0	0	20989000	16356000	4632600	0	0	0	3236800	2445300	791490	8311000	6186400	2124600			+	5	400;2652;3857;4112;5889	True;True;True;True;True	415;2718;3965;4224;6103	5131;5132;5133;5134;5135;5136;5137;28514;28515;42848;42849;42850;42851;45337;66287	12514;12515;12516;12517;12518;12519;12520;12521;12522;12523;12524;12525;12526;12527;12528;12529;12530;12531;12532;12533;12534;12535;12536;67279;67280;67281;99534;99535;99536;99537;105079;153684;153685;153686	12515;67281;99534;105079;153685		
CON__P35527	CON__P35527	3	3	3			">P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9"	1	3	3	3	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	9.5	9.5	9.5	62.129	623	623	1	5		5				1.58E-31	0.15706	0.84036	75.876	5	NaN	NaN	NaN	0	0.15706	0.84036	75.876	5	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	9.5	0	0	0	13017000	12057000	959510	0	0	0	13017000	12057000	959510	0	0	0	0	0	0	0	0	0			+	6	1078;1528;5400	True;True;True	1103;1568;5591	13403;13404;17331;61329;61330	31207;31208;31209;31210;31211;31212;31213;40867;142318;142319	31207;40867;142318		
CON__P35908;CON__Q3TTY5;CON__Q8VED5	CON__P35908	4;1;1	2;1;0	2;1;0			">P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal"	3	4	2	2	1	4	1	1	2	0	2	0	0	0	0	2	0	0	0	7.8	4	4	65.865	645	645;707;531	1	4		4				7.10E-116	0.40818	2.0497	57.292	4	NaN	NaN	NaN	0	0.40818	2.0497	57.292	4	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.9	7.8	1.9	1.9	3.7	7143900	5528100	1615800	0	0	0	7143900	5528100	1615800	0	0	0	0	0	0	0	0	0			+	7	2094;2447;5670;8026	False;True;False;True	2146;2505;5876;8312	23329;23330;23331;23332;23333;23334;23335;23336;23337;23338;26775;26776;63937;63938;63939;63940;90978;90979	54642;54643;54644;54645;54646;54647;54648;54649;54650;54651;54652;54653;54654;54655;54656;54657;54658;54659;54660;54661;54662;54663;54664;54665;54666;54667;54668;63074;63075;63076;63077;148326;148327;148328;148329;148330;148331;212236;212237;212238;212239;212240	54648;63076;148330;212239		
CON__P60712	CON__P60712	8	1	1			">P60712 SWISS-PROT:P60712 (Bos taurus) Actin, cytoplasmic 1"	1	8	1	1	7	8	6	5	5	1	1	1	0	0	1	1	1	0	0	20.8	3.7	3.7	41.736	375	375	1	5	1	3	1			7.71E-285	0.26736	0.35153	103.11	5	NaN	NaN	NaN	1	0.10476	0.12262	62.217	3	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	20.8	20.8	20.8	17.1	17.1	32185000	27604000	4581400	5945900	4196700	1749300	23704000	21668000	2035600	2535300	1738600	796610	0	0	0	0	0	0	+		+	8	240;750;751;1180;1269;4026;7248;9069	False;False;False;False;False;True;False;False	247;772;773;1208;1303;4137;4138;7505;9394	3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;9353;9354;9355;9356;9357;9358;9359;9360;9361;9362;9363;9364;9365;9366;9367;9368;14113;14810;14811;14812;14813;14814;14815;14816;14817;14818;14819;14820;14821;14822;14823;14824;14825;14826;14827;14828;14829;44496;44497;44498;44499;44500;81267;81268;81269;81270;81271;81272;81273;81274;81275;81276;81277;81278;81279;81280;81281;81282;81283;81284;81285;81286;81287;81288;81289;81290;81291;81292;81293;81294;81295;81296;81297;81298;81299;81300;81301;81302;81303;81304;81305;81306;81307;81308;81309;81310;81311;81312;81313;81314;81315;81316;81317;81318;81319;81320;81321;81322;81323;81324;81325;81326;81327;81328;81329;81330;81331;81332;81333;81334;81335;81336;104303;104304;104305;104306;104307;104308;104309;104310;104311;104312;104313;104314;104315;104316;104317;104318;104319;104320;104321;104322;104323;104324;104325;104326	7839;7840;7841;7842;7843;7844;7845;7846;7847;7848;7849;7850;7851;7852;7853;7854;7855;7856;7857;7858;7859;7860;7861;7862;7863;7864;7865;7866;7867;7868;7869;7870;7871;7872;7873;7874;7875;7876;7877;7878;7879;7880;7881;7882;7883;7884;7885;7886;7887;7888;7889;7890;7891;7892;7893;7894;7895;7896;7897;7898;7899;7900;7901;7902;7903;7904;7905;7906;7907;7908;7909;7910;7911;7912;7913;7914;7915;7916;7917;7918;7919;7920;7921;7922;7923;7924;7925;7926;7927;7928;7929;7930;7931;7932;7933;7934;7935;7936;7937;22335;22336;22337;22338;22339;22340;22341;22342;22343;22344;22345;22346;22347;22348;22349;22350;22351;22352;22353;22354;22355;22356;22357;22358;22359;22360;22361;22362;22363;22364;32998;34823;34824;34825;34826;34827;34828;34829;34830;34831;34832;34833;34834;34835;34836;34837;34838;34839;34840;34841;34842;34843;34844;34845;34846;34847;34848;34849;34850;34851;34852;34853;34854;34855;34856;34857;34858;34859;34860;34861;34862;34863;34864;34865;34866;34867;34868;34869;34870;34871;34872;34873;34874;34875;34876;34877;34878;34879;34880;34881;34882;34883;34884;34885;34886;34887;34888;34889;103280;103281;103282;103283;103284;188844;188845;188846;188847;188848;188849;188850;188851;188852;188853;188854;188855;188856;188857;188858;188859;188860;188861;188862;188863;188864;188865;188866;188867;188868;188869;188870;188871;188872;188873;188874;188875;188876;188877;188878;188879;188880;188881;188882;188883;188884;188885;188886;188887;188888;188889;188890;188891;188892;188893;188894;188895;188896;188897;188898;188899;188900;188901;188902;188903;188904;188905;188906;188907;188908;188909;188910;188911;188912;188913;188914;188915;188916;188917;188918;188919;188920;188921;188922;188923;188924;188925;188926;188927;188928;188929;188930;188931;188932;188933;188934;188935;188936;188937;188938;188939;188940;188941;188942;188943;188944;188945;188946;188947;188948;188949;188950;188951;188952;188953;188954;188955;188956;188957;188958;188959;188960;188961;188962;188963;188964;188965;188966;188967;188968;188969;188970;188971;188972;188973;188974;188975;188976;188977;188978;188979;188980;188981;188982;188983;188984;188985;188986;188987;188988;188989;188990;188991;188992;188993;188994;188995;188996;188997;188998;188999;189000;189001;189002;189003;189004;189005;189006;189007;189008;189009;189010;189011;189012;189013;189014;189015;189016;189017;189018;189019;189020;189021;189022;189023;189024;189025;189026;189027;189028;189029;189030;189031;189032;189033;189034;189035;189036;189037;189038;189039;189040;189041;189042;189043;189044;189045;189046;189047;189048;189049;189050;189051;189052;189053;189054;189055;189056;189057;189058;245628;245629;245630;245631;245632;245633;245634;245635;245636;245637;245638;245639;245640;245641;245642;245643;245644;245645;245646;245647;245648;245649;245650;245651;245652;245653;245654;245655;245656;245657;245658;245659;245660;245661;245662;245663;245664;245665;245666;245667;245668;245669;245670;245671;245672;245673;245674;245675;245676;245677;245678;245679;245680;245681;245682;245683;245684;245685;245686;245687;245688;245689;245690;245691;245692;245693;245694;245695;245696	7857;22336;22353;32998;34824;103284;189006;245655	1	190
O13516	O13516	10	10	2	40S ribosomal protein S9-A	RPS9A	>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3	1	10	10	2	7	9	8	8	9	7	9	8	8	9	2	2	2	2	2	45.7	45.7	9.1	22.443	197	197	1	218	48	51	39	33	47	0	0.1628	0.82137	165.18	158	0.035844	0.041687	204.14	31	0.20013	0.86178	162.47	32	0.58799	1.0164	21.388	33	0.1007	0.65679	112.29	27	0.13075	0.80629	97.893	35	37.1	34.5	34	41.6	42.1	3170800000	2772400000	398440000	734660000	713420000	21241000	708750000	641070000	67687000	735040000	495670000	239380000	370500000	354820000	15680000	621830000	567380000	54458000				9	141;3527;3745;3901;4052;4151;4751;6087;6285;8056	True;True;True;True;True;True;True;True;True;True	144;3623;3849;4009;4164;4263;4888;6306;6307;6509;8342	1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697;1698;1699;1700;1701;1702;1703;1704;1705;1706;1707;39119;39120;39121;39122;39123;39124;39125;39126;39127;39128;39129;39130;39131;39132;39133;39134;39135;39136;39137;39138;39139;39140;39141;39142;39143;39144;41838;41839;41840;41841;41842;41843;41844;41845;41846;41847;41848;41849;41850;41851;41852;41853;41854;41855;41856;41857;41858;41859;41860;41861;41862;41863;41864;41865;41866;41867;41868;41869;41870;41871;41872;41873;41874;41875;41876;43439;43440;43441;43442;43443;43444;43445;43446;43447;43448;43449;43450;43451;43452;43453;43454;44867;44868;44869;44870;44871;44872;44873;44874;45617;45618;45619;45620;45621;45622;45623;45624;45625;53358;53359;53360;53361;53362;53363;53364;53365;53366;53367;67796;67797;67798;67799;67800;67801;67802;67803;67804;67805;67806;67807;67808;67809;67810;67811;67812;67813;67814;67815;67816;67817;67818;67819;67820;67821;67822;67823;67824;67825;67826;67827;67828;67829;67830;67831;67832;67833;67834;67835;67836;67837;67838;67839;67840;67841;67842;67843;67844;67845;67846;67847;67848;67849;67850;67851;67852;67853;67854;67855;67856;67857;67858;67859;67860;67861;67862;69505;69506;91112;91113;91114	4037;4038;4039;4040;4041;4042;4043;4044;4045;4046;4047;4048;4049;4050;4051;4052;4053;4054;4055;4056;4057;4058;4059;4060;4061;4062;4063;4064;4065;4066;4067;4068;4069;4070;4071;4072;4073;4074;4075;4076;4077;4078;4079;4080;4081;4082;4083;4084;4085;4086;4087;4088;4089;4090;4091;4092;4093;90746;90747;90748;90749;90750;90751;90752;90753;90754;90755;90756;90757;90758;90759;90760;90761;90762;90763;90764;90765;90766;90767;90768;90769;90770;90771;90772;90773;90774;90775;90776;90777;90778;90779;90780;90781;90782;90783;90784;90785;90786;90787;90788;90789;90790;90791;90792;90793;90794;90795;90796;90797;90798;90799;90800;90801;90802;90803;90804;90805;90806;90807;90808;90809;97243;97244;97245;97246;97247;97248;97249;97250;97251;97252;97253;97254;97255;97256;97257;97258;97259;97260;97261;97262;97263;97264;97265;97266;97267;97268;97269;97270;97271;97272;97273;97274;97275;97276;97277;97278;97279;97280;97281;97282;97283;97284;97285;97286;97287;97288;97289;97290;97291;97292;97293;97294;97295;97296;97297;97298;97299;97300;97301;97302;97303;97304;97305;97306;97307;97308;97309;97310;97311;97312;97313;97314;97315;97316;97317;97318;97319;97320;97321;97322;97323;97324;97325;97326;97327;97328;97329;97330;97331;97332;97333;97334;97335;97336;97337;97338;97339;97340;97341;97342;97343;97344;97345;97346;97347;97348;97349;97350;97351;97352;97353;97354;97355;97356;97357;97358;97359;97360;97361;97362;97363;97364;97365;97366;97367;97368;97369;97370;97371;97372;97373;97374;97375;97376;97377;97378;97379;97380;97381;100807;100808;100809;100810;100811;100812;100813;100814;100815;100816;100817;100818;100819;100820;100821;100822;100823;100824;100825;100826;100827;100828;100829;104077;104078;104079;104080;104081;104082;104083;104084;105765;105766;105767;105768;105769;105770;105771;105772;105773;105774;105775;105776;105777;105778;105779;105780;105781;105782;105783;105784;105785;105786;105787;105788;105789;105790;105791;105792;105793;105794;105795;105796;105797;105798;105799;105800;105801;105802;105803;105804;105805;105806;105807;105808;105809;105810;105811;105812;105813;105814;105815;105816;105817;105818;105819;105820;105821;105822;105823;105824;105825;105826;105827;105828;123076;123077;123078;123079;123080;123081;123082;123083;123084;123085;157123;157124;157125;157126;157127;157128;157129;157130;157131;157132;157133;157134;157135;157136;157137;157138;157139;157140;157141;157142;157143;157144;157145;157146;157147;157148;157149;157150;157151;157152;157153;157154;157155;157156;157157;157158;157159;157160;157161;157162;157163;157164;157165;157166;157167;157168;157169;157170;157171;157172;157173;157174;157175;157176;157177;157178;157179;157180;157181;157182;157183;157184;157185;157186;157187;157188;157189;157190;157191;157192;157193;157194;157195;157196;157197;157198;157199;157200;157201;157202;157203;157204;157205;157206;157207;157208;157209;157210;157211;157212;157213;157214;157215;157216;157217;157218;157219;157220;157221;157222;157223;157224;157225;157226;157227;157228;157229;157230;157231;157232;157233;157234;157235;157236;157237;157238;157239;157240;157241;157242;157243;157244;157245;157246;157247;157248;157249;157250;157251;157252;157253;157254;157255;157256;157257;157258;157259;157260;157261;157262;157263;157264;157265;157266;157267;157268;157269;157270;157271;157272;157273;157274;157275;157276;157277;157278;157279;157280;157281;157282;157283;157284;157285;157286;157287;157288;157289;157290;157291;157292;157293;157294;157295;157296;157297;161257;161258;161259;212531;212532;212533;212534;212535	4084;90769;97245;100823;104077;105767;123078;157291;161258;212531	2	147
